angle_degree,range_meter,x_meter,y_meter
-169.9969171605643,0.1289999932050705,-0.12703898798231386,-0.022407449193019482
-169.8857717400266,0.12800000607967377,-0.12601083488793213,-0.02247823496724827
-169.7746263194889,0.12800000607967377,-0.12596699334036365,-0.022722635084542798
-169.6634808989512,0.12700000405311584,-0.12493890490808873,-0.022787520046266618
-169.5523354784135,0.1289999932050705,-0.12686129665398976,-0.023392512865800415
-169.44119005787584,0.12999999523162842,-0.12779874927255983,-0.02382180607327673
-169.33004463733815,0.12999999523162842,-0.12775229803147561,-0.024069671952489154
-169.21889921680045,0.13099999725818634,-0.1286877170510594,-0.024504504929324697
-169.10775379626276,0.13099999725818634,-0.12863993980240881,-0.024754093990236568
-168.9966083757251,0.13099999725818634,-0.1285916784777329,-0.025003589900736152
-168.8854629551874,0.13099999725818634,-0.12854293325864052,-0.025252991721962714
-168.7743175346497,0.13099999725818634,-0.12849370432856144,-0.025502298515409583
-168.663172114112,0.12999999523162842,-0.12746350137762913,-0.025554932533241946
-168.5520266935743,0.12999999523162842,-0.12741368875793427,-0.025802144820143598
-168.44088127303664,0.12999999523162842,-0.1273633966766343,-0.026049260012785666
-168.32973585249894,0.12999999523162842,-0.1273126253229798,-0.026296277181266123
-168.21859043196125,0.12999999523162842,-0.12726137488802494,-0.02654319539605181
-168.10744501142355,0.12999999523162842,-0.12720964556462672,-0.02679001372798194
-167.99629959088588,0.12999999523162842,-0.1271574375474441,-0.027036731248271585
-167.8851541703482,0.12999999523162842,-0.12710475103293747,-0.02728334702851518
-167.7740087498105,0.1289999932050705,-0.12607426430892937,-0.027318091548833558
-167.6628633292728,0.1289999932050705,-0.1260210340349979,-0.027562605603573452
-167.5517179087351,0.1289999932050705,-0.12596732954006354,-0.02780701593938602
-167.44057248819743,0.1289999932050705,-0.125913151026218,-0.0280513216365477
-167.32942706765974,0.1289999932050705,-0.12585849869733667,-0.028295521775728687
-167.21828164712204,0.1289999932050705,-0.12580337275907794,-0.02853961543799639
-167.10713622658434,0.1289999932050705,-0.12574777341888238,-0.028783601704818897
-166.99599080604668,0.1289999932050705,-0.125691700885972,-0.02902747965806843
-166.88484538550898,0.1289999932050705,-0.1256351553713495,-0.0292712483800248
-166.77369996497129,0.1289999932050705,-0.12557813708779733,-0.02951490695337885
-166.6625545444336,0.1289999932050705,-0.12552064624987708,-0.029758454461235925
-166.5514091238959,0.1289999932050705,-0.1254626830739285,-0.03000188998711931
-166.44026370335823,0.1289999932050705,-0.1254042477780688,-0.030245212614973673
-166.32911828282053,0.12999999523162842,-0.1263170119093563,-0.03072476627274735
-166.21797286228283,0.12999999523162842,-0.12625717273282386,-0.03096974481227262
-166.10682744174514,0.13099999725818634,-0.1271676055145439,-0.03145471966720049
-165.99568202120747,0.13199999928474426,-0.12807662819371785,-0.0319433423689608
-165.88453660066978,0.13199999928474426,-0.12801442184877282,-0.03219173201144853
-165.77339118013208,0.1340000033378601,-0.12989040035401792,-0.032931516673537276
-165.66224575959438,0.13699999451637268,-0.1327328234311567,-0.033926333156996565
-165.5511003390567,0.1379999965429306,-0.1336351341401936,-0.034433268348812274
-165.43995491851902,0.1379999965429306,-0.1335680872481454,-0.034692435987123765
-165.32880949798133,0.1379999965429306,-0.13350053773530238,-0.034951473076738265
-165.21766407744363,0.1379999965429306,-0.13343248585585551,-0.03521037864289131
-165.10651865690593,0.1379999965429306,-0.13336393186588605,-0.035469151711313325
-164.99537323636827,0.13699999451637268,-0.13232896914298536,-0.035468893738612346
-164.88422781583057,0.13699999451637268,-0.1322599157481912,-0.03572552566117834
-164.77308239529287,0.13699999451637268,-0.1321903646552916,-0.03598202314749933
-164.66193697475518,0.13699999451637268,-0.13212031612600947,-0.03623838523236744
-164.55079155421748,0.13699999451637268,-0.13204977042393956,-0.03649461095108431
-164.43964613367982,0.13600000739097595,-0.13101539180050836,-0.036482449502532086
-164.32850071314212,0.13600000739097595,-0.13094437472872966,-0.03673653137202175
-164.21735529260442,0.13600000739097595,-0.1308728649092666,-0.036990475000821026
-164.10620987206673,0.13600000739097595,-0.13080086261121285,-0.03724427943333228
-163.99506445152906,0.13600000739097595,-0.13072836810551516,-0.03749794371448167
-163.88391903099136,0.13699999451637268,-0.13161607057988695,-0.038029047616215186
-163.77277361045367,0.13699999451637268,-0.13154205220598258,-0.03828429180388078
-163.66162818991597,0.1379999965429306,-0.13242715789023565,-0.038820701938056944
-163.5504827693783,0.1379999965429306,-0.13235160229778503,-0.039077518025813766
-163.4393373488406,0.13899999856948853,-0.13323406909728178,-0.039619217989487865
-163.3281919283029,0.14000000059604645,-0.13411492869709868,-0.040164487641013734
-163.21704650776522,0.1420000046491623,-0.13595157795820872,-0.041002070326206855
-163.10590108722752,0.14399999380111694,-0.13778546086087798,-0.04184692330479246
-162.99475566668985,0.14499999582767487,-0.138660304693028,-0.04240658784272039
-162.88361024615216,0.14399999380111694,-0.13762207048298503,-0.04238117424869236
-162.77246482561446,0.14499999582767487,-0.13849473640199353,-0.04294422870384394
-162.66131940507677,0.1459999978542328,-0.13936573211786335,-0.0435108272121771
-162.5501739845391,0.1459999978542328,-0.1392810653199839,-0.043781094284706404
-162.4390285640014,0.1459999978542328,-0.13919587440319864,-0.04405119660763976
-162.3278831434637,0.1459999978542328,-0.1391101596880835,-0.044321133164573874
-162.216737722926,0.1459999978542328,-0.13902392149718562,-0.04459090293972924
-162.10559230238832,0.1459999978542328,-0.13893716015502192,-0.04486050491795394
-161.99444688185065,0.1469999998807907,-0.13980090447722923,-0.045439047880662
-161.88330146131295,0.14800000190734863,-0.14066292346965034,-0.04602110956448671
